,silica_concentrate
590,1.4300000000000048
1552,1.4399999999999984
809,1.5800000000000034
1493,1.2700000000000038
1448,2.240000000000005
1650,4.039999999999996
1125,1.5699999999999947
678,1.0
1666,1.2599999999999971
1402,1.5099999999999962
1328,3.25
741,1.3300000000000052
1746,1.3899999999999937
670,1.3899999999999937
1290,4.070000000000011
843,1.3899999999999937
493,4.426525658808333
1198,3.5299999999999843
277,5.320000000000021
1678,2.1399999999999912
358,2.680000000000006
1004,1.720000000000004
236,3.5899999999999976
1697,1.7900000000000025
756,2.149999999999995
208,4.990000000000002
1258,4.919999999999986
1421,1.6699999999999977
58,1.25
1727,2.550000000000008
1619,1.6399999999999926
363,5.049999999999985
923,1.5099999999999962
567,0.969999999999999
1026,1.4399999999999984
1461,1.1599999999999973
1113,2.810000000000002
707,1.7299999999999995
857,1.0600000000000018
1768,1.520000000000003
118,1.77
1142,1.6800000000000053
861,1.0600000000000018
522,1.409999999999997
513,3.860000000000011
81,4.629999999999996
937,1.810000000000002
1512,1.0
380,1.1399999999999952
1540,1.0600000000000018
84,3.0799999999999987
1530,1.289999999999998
329,2.019999999999998
932,1.8199999999999947
628,2.1100000000000088
637,1.0999999999999963
771,1.1299999999999972
1429,1.2400000000000029
451,1.8199999999999947
490,4.823474341191666
1345,1.1100000000000043
287,2.220000000000009
1289,1.7099999999999989
1802,4.860000000000011
1660,1.5099999999999962
1717,2.089999999999994
1663,1.2700000000000038
998,2.1399999999999912
889,2.0500000000000065
965,2.0
1505,1.0200000000000022
327,2.540000000000008
1491,1.2400000000000029
651,1.4799999999999964
1473,1.0699999999999956
1096,1.92
1124,1.5999999999999988
177,1.4900000000000038
988,1.3600000000000063
886,2.160000000000007
86,1.810000000000002
1299,2.6700000000000044
1722,2.189999999999998
457,1.0399999999999994
54,2.120000000000004
1374,1.4799999999999964
221,1.8999999999999968
113,2.060000000000002
1489,1.3100000000000018
1519,1.2299999999999964
836,1.6299999999999968
174,2.540000000000008
1197,1.219999999999999
589,1.560000000000002
1420,1.7799999999999951
18,1.2700000000000038
423,4.600000000000001
1604,1.460000000000002
285,2.5199999999999947
1444,1.1800000000000046
428,3.139999999999989
1373,1.59
631,1.0999999999999963
31,3.5800000000000045
1366,2.199999999999993
832,2.2900000000000063
214,3.040000000000006
1325,2.399999999999993
326,1.5999999999999988
560,4.210000000000005
1007,2.2799999999999905
917,2.7699999999999934
1103,2.009999999999995
341,3.3700693962500003
147,1.8700000000000032
360,4.29999999999999
83,3.1442041949411115
48,1.0999999999999963
468,2.2799999999999905
155,2.25
1616,1.1500000000000037
1272,1.7400000000000044
1100,2.3899999999999904
1486,3.0199999999999925
500,1.3799999999999968
179,1.5099999999999962
1596,1.8199999999999947
660,1.0
921,1.4799999999999964
528,1.030000000000001
346,3.5699306037500005
1259,2.2599999999999945
1777,2.9900000000000064
682,1.6500000000000004
939,1.8799999999999968
844,3.7999999999999945
601,1.2299999999999964
906,2.0500000000000065
243,4.340000000000004
1329,3.170000000000001
1341,2.0699999999999945
312,1.689999999999998
435,4.895676426046666
1721,2.089999999999994
1138,1.0500000000000025
308,2.8999999999999906
430,3.459999999999999
370,2.0799999999999987
566,0.969999999999999
818,2.7200000000000126
181,3.519999999999991
1231,2.6299999999999963
621,1.2599999999999971
808,4.149999999999987
985,1.4699999999999998
1085,2.7599999999999936
1672,2.1100000000000088
296,3.75
759,1.889999999999992
461,1.4300000000000048
1185,1.0200000000000022
994,1.529999999999999
377,0.9900000000000008
1061,2.300000000000008
105,2.2799999999999905
126,3.4199999999999977
1700,2.149999999999995
704,2.4100000000000086
355,1.910000000000004
1474,1.4699999999999998
1648,2.339999999999992
733,2.2599999999999945
209,5.200000000000016
745,1.8500000000000023
140,3.5
1304,1.7799999999999951
1214,3.9
1425,2.269999999999996
1435,1.289999999999998
979,2.7200000000000126
752,1.0900000000000027
1760,4.330000000000011
1632,2.0699999999999945
721,1.219999999999999
10,4.305372867910556
1546,2.240000000000005
1106,2.6399999999999904
282,4.110000000000011
291,4.769999999999989
626,1.1899999999999982
1340,2.0699999999999945
824,4.761298557158339
129,3.830000000000007
1370,2.199999999999993
323,2.3500000000000068
968,2.6499999999999915
869,1.6100000000000074
806,3.0199999999999925
1694,2.019999999999998
727,1.7900000000000025
1220,2.6100000000000096
1005,1.889999999999992
940,2.1000000000000045
1164,1.689999999999998
158,2.300000000000008
1193,1.2400000000000029
634,1.0200000000000022
516,2.2599999999999945
1296,1.5
597,1.5699999999999947
195,3.040000000000006
1498,1.4900000000000038
845,2.779999999999988
410,3.7999999999999945
96,2.060000000000002
984,1.6200000000000032
1338,1.3700000000000032
156,1.990000000000005
419,1.970000000000007
1010,1.7299999999999995
477,1.1899999999999982
873,1.7599999999999956
668,1.5500000000000052
1211,4.240000000000007
1247,2.0799999999999987
1792,3.1100000000000105
447,3.3600000000000105
1551,1.0699999999999956
178,1.959999999999996
390,1.894157797315556
